Date,Longitude,Latitude,Depth,Magnitude
10/09/2022 01:38:21,38.3226,37.8976,8.34,2
09/09/2022 23:12:18,39.188,38.317,10.6,2.1
09/09/2022 11:20:39,39.3048,38.4301,7,2.5
09/09/2022 11:04:21,39.304,38.4443,7.09,2.1
09/09/2022 08:44:08,39.0735,38.3766,7,2.3
09/09/2022 07:40:32,37.044,37.4141,5.58,2.3
09/09/2022 00:15:40,37.5666,37.3226,16.64,2.2
07/09/2022 09:07:58,38.7835,36.9013,5.7,2
07/09/2022 08:03:25,37.3686,36.7228,34.52,2.5
06/09/2022 23:46:50,38.884,38.3011,2.89,2.1
05/09/2022 13:16:19,37.4818,36.7056,7,2.2
05/09/2022 12:55:15,38.8008,38.2495,4.02,2.6
05/09/2022 03:55:36,39.2343,38.4201,7.37,2.3
03/09/2022 09:44:30,38.5001,38.114,7,2.1
02/09/2022 15:24:39,35.8316,36.1353,7,2
02/09/2022 02:30:11,39.04,38.1571,7.28,2.2
01/09/2022 22:44:24,38.6831,38.214,10.85,2.3
01/09/2022 22:33:22,38.6903,38.214,8.26,3.1
01/09/2022 12:18:04,37.3363,35.4748,6,2.1
29/08/2022 21:10:36,38.2728,37.6203,7,2
28/08/2022 19:03:14,39.0456,35.2588,5.14,2.5
28/08/2022 13:10:18,38.4815,38.1251,11.38,2.2
28/08/2022 07:28:18,36.9595,37.456,7.04,2.5
28/08/2022 00:38:29,39.0366,38.2138,7.24,2.1
24/08/2022 13:44:00,38.6511,37.3865,7.07,2.8
24/08/2022 08:33:23,38.6445,37.3796,6.97,3.6
22/08/2022 18:50:22,37.436,37.8696,6.96,2.5
22/08/2022 06:02:59,37.398,37.847,18,2.6
21/08/2022 22:39:17,38.5315,37.3955,6.97,2
21/08/2022 19:26:33,37.1926,38.311,10.56,2.2
20/08/2022 19:14:41,37.4263,37.8606,7,2.5
20/08/2022 07:56:22,39.0691,38.3916,4.91,2
20/08/2022 03:17:24,39.2475,38.4316,7,3.3
17/08/2022 00:51:59,35.9501,37.3895,12.77,2.5
16/08/2022 22:23:13,36.9747,37.4853,7,2.9
16/08/2022 20:53:31,36.957,37.4766,7.66,3.8
15/08/2022 23:13:07,36.4848,37.9021,7.05,2.2
14/08/2022 23:57:36,38.7938,38.2601,4.76,2.3
13/08/2022 03:50:44,36.9801,37.4576,7.01,4.2
13/08/2022 01:13:14,39.1691,38.4905,15,2.2
12/08/2022 06:48:47,36.8001,37.1985,7.65,2.2
10/08/2022 13:25:59,40.1236,36.4053,7,2.6
09/08/2022 13:11:34,37.2448,36.6526,7,2.1
09/08/2022 10:40:32,38.8042,38.2456,6.95,2.4
08/08/2022 20:07:44,36.9606,37.463,2.99,2.3
08/08/2022 18:58:43,38.8298,38.2568,5.2,3.3
08/08/2022 01:42:28,40.1603,38.4278,6.97,2.4
08/08/2022 00:49:16,40.1686,38.382,6.86,3.7
05/08/2022 21:12:03,36.8931,35.8453,7.03,3
05/08/2022 08:29:24,37.2015,37.3986,11.12,2.8
04/08/2022 07:26:54,37.2695,35.2058,4.12,2.8
03/08/2022 22:20:20,36.9546,37.462,5.6,2
03/08/2022 21:02:13,38.7223,38.244,8.33,2.1
03/08/2022 14:02:01,40.1301,38.1065,7.01,2
03/08/2022 10:48:56,36.9806,37.46,7,2
03/08/2022 03:51:08,39.2445,38.437,7.33,2
02/08/2022 19:45:25,36.9665,37.4585,7,2.5
02/08/2022 18:09:57,36.155,37.0466,6.98,3.1
02/08/2022 09:10:01,36.9438,37.4635,6.91,2.6
02/08/2022 00:21:30,36.9735,37.47,7.12,3.6
01/08/2022 07:03:19,36.9648,37.4605,4.07,3.2
01/08/2022 05:10:01,38.9391,38.3228,4.94,2
01/08/2022 02:25:09,36.975,37.4742,7,2.3
01/08/2022 01:56:31,36.9605,37.4636,4.06,3.6
31/07/2022 12:11:06,36.9636,37.4538,4.38,2.1
31/07/2022 01:19:45,36.9425,37.4611,4.67,2.4
30/07/2022 19:14:47,36.9492,37.4661,4.52,3.6
30/07/2022 18:06:17,39.042,37.2791,6.93,2.7
30/07/2022 17:21:42,36.9361,37.4706,7.17,2.8
28/07/2022 01:47:53,36.5131,37.1333,7.55,2.5
27/07/2022 20:18:54,36.9706,37.455,2.43,2
27/07/2022 19:41:35,36.9478,37.4696,2.75,2.1
27/07/2022 17:20:58,36.9346,37.4646,2.27,2.5
27/07/2022 17:19:52,36.9578,37.4521,3.17,2.8
27/07/2022 15:38:42,36.96,37.463,3.64,3.8
27/07/2022 09:56:19,38.6955,38.1773,5.09,2.6
27/07/2022 09:32:43,36.9485,37.4531,6.71,2
27/07/2022 05:34:07,36.9689,37.4567,7,2.8
26/07/2022 10:49:29,38.343,38.1131,7,2.4
26/07/2022 06:10:59,36.9386,37.4685,7,4.4
24/07/2022 18:58:45,36.595,36.7135,5.73,2.7
24/07/2022 18:58:13,36.5926,36.7005,6.95,2
24/07/2022 09:03:50,36.9145,37.4616,7.01,2
24/07/2022 08:10:57,36.9535,37.4673,4.16,2.8
24/07/2022 08:02:01,36.9518,37.4701,5.01,2.8
23/07/2022 06:03:27,36.588,36.6945,9.72,2.2
22/07/2022 21:04:47,36.6241,36.641,6.98,2.1
22/07/2022 20:38:01,36.6003,36.6816,5.54,3.6
22/07/2022 01:21:06,39.2798,38.4748,11.23,3
22/07/2022 00:14:52,36.587,36.6946,7.94,3.5
21/07/2022 10:14:51,39.236,38.4226,6.03,2.3
21/07/2022 06:49:19,39.1283,37.1956,6.89,2
20/07/2022 03:41:07,36.9698,37.4633,1.97,2.6
20/07/2022 01:07:28,39.101,37.231,10.42,2.1
20/07/2022 00:24:03,39.3013,38.4263,3.31,2.8
19/07/2022 18:51:25,37.2083,37.4083,7.75,2.7
19/07/2022 18:01:42,39.2223,38.4166,6.23,3.8
19/07/2022 11:18:13,36.191,37.627,7.06,2.2
19/07/2022 06:41:53,39.1526,37.1661,12.67,3.2
19/07/2022 02:18:54,37.2091,37.4103,7.56,3.2
17/07/2022 15:42:04,37.1886,37.413,9.32,2.8
17/07/2022 10:47:40,39.2951,38.4793,7.05,2.2
16/07/2022 16:33:13,37.2058,37.397,9.34,2.1
16/07/2022 16:06:42,37.2123,37.3936,8.69,2
15/07/2022 12:13:46,37.211,37.4083,7.73,3.8
15/07/2022 12:11:20,36.136,37.6236,15.88,2.8
15/07/2022 11:30:56,36.181,37.6251,6.47,2.4
15/07/2022 10:43:25,36.1846,37.6145,12.35,2.9
14/07/2022 12:55:12,37.2056,37.3808,8.33,2.1
14/07/2022 05:42:14,37.21,37.4303,7,2
13/07/2022 21:17:33,37.2221,37.4051,8.34,2.2
13/07/2022 19:47:59,37.2276,37.3995,7.33,2.9
13/07/2022 19:24:00,37.2175,37.4043,5.72,2.6
13/07/2022 19:08:19,37.2233,37.3925,7.19,2.5
13/07/2022 18:57:40,37.2103,37.4286,7,2.4
13/07/2022 18:56:07,37.2181,37.4103,7.57,2.5
13/07/2022 18:22:55,37.2073,37.4145,7.84,2.1
13/07/2022 18:15:51,37.2053,37.3976,7.56,3.5
13/07/2022 15:49:51,37.2105,37.4425,7.03,2.3
13/07/2022 15:05:20,37.2153,37.397,5.23,2.1
13/07/2022 14:58:25,37.2156,37.4147,5.89,2.1
13/07/2022 14:56:41,37.2271,37.3971,5.79,3.3
13/07/2022 14:55:51,37.2068,37.397,7.6,2.2
13/07/2022 08:08:24,38.7781,38.2841,7,2.3
13/07/2022 07:16:42,37.2186,37.4115,6.41,2.5
12/07/2022 08:31:29,37.2066,37.4433,10.26,2
12/07/2022 07:01:51,35.8038,36.2115,17.33,2.6
11/07/2022 09:23:47,36.8573,37.3268,6.13,3
10/07/2022 05:51:41,36.8896,36.1841,7.05,2.9
09/07/2022 01:52:13,37.6969,37.7969,7,2.2
08/07/2022 13:06:16,39.1364,38.4558,8.15,2.1
07/07/2022 18:55:02,35.959,36.7306,7.04,2.2
06/07/2022 01:37:06,36.5901,36.6658,4.6,3.3
06/07/2022 01:30:39,39.072,37.2471,6.06,2.1
04/07/2022 22:56:07,36.435,36.6175,7.04,2.8
04/07/2022 19:29:51,36.8138,37.0846,7,2
04/07/2022 15:27:16,39.1033,37.2096,6.24,2.5
04/07/2022 15:22:13,39.1155,37.181,8.12,3
03/07/2022 05:29:15,38.7822,38.2719,7,2.1
02/07/2022 03:54:17,39.2951,38.4368,7.03,2.9
02/07/2022 01:29:37,37.0461,37.4103,5.53,2
01/07/2022 21:24:35,36.06,36.237,10.81,2.9
28/06/2022 01:37:16,38.7526,37.2831,6.96,2
27/06/2022 14:22:19,38.8136,37.164,7.16,2.3
23/06/2022 22:56:05,39.3106,38.4913,7.31,2.7
23/06/2022 06:55:05,36.0566,36.8133,6.99,2.6
22/06/2022 16:41:07,38.0766,38.0023,7,2.1
22/06/2022 16:20:55,36.9644,37.475,7,2.4
22/06/2022 11:46:27,35.9748,37.2853,7.04,2.1
20/06/2022 09:00:10,38.7398,36.726,4.07,2.1
18/06/2022 03:25:13,37.4561,37.717,6.98,2.4
15/06/2022 14:11:12,37.4788,36.7201,4.93,2
14/06/2022 20:25:51,35.574,35.6726,5.63,2.1
11/06/2022 18:53:35,38.7088,38.2748,10.69,3.3
11/06/2022 09:01:35,35.803,37.1578,7.11,2.1
11/06/2022 08:58:04,38.6936,37.138,7.27,2
10/06/2022 13:48:02,36.3093,36.5278,7.11,2
09/06/2022 19:42:05,35.1595,38.125,7.4,2.7
08/06/2022 21:07:42,38.5813,38.193,7.01,2.1
07/06/2022 10:39:33,39.1388,38.3925,11.1,2.2
06/06/2022 16:51:35,38.7831,37.5581,7.06,2.1
06/06/2022 16:30:35,38.7951,37.5258,10.53,2.5
06/06/2022 10:19:03,36.3695,37.5686,7.02,2.2
05/06/2022 17:22:00,38.9608,35.8965,4.14,3.1
04/06/2022 17:34:20,39.1966,38.4113,7.04,2.1
02/06/2022 04:24:03,39.203,38.4126,7,2.3
01/06/2022 02:08:26,39.3528,38.2678,4.53,2
31/05/2022 02:23:17,38.5371,38.1635,7.01,2.5
31/05/2022 00:50:56,35.8881,37.4441,6.98,2.1
30/05/2022 22:34:06,36.2498,37.7655,7.01,2
30/05/2022 18:07:18,35.9038,37.4561,26.24,3.6
30/05/2022 14:32:59,36.0141,37.2045,6.84,3.3
28/05/2022 23:21:34,36.266,37.7638,7,2.7
27/05/2022 23:04:06,39.3295,38.4645,7,2.6
27/05/2022 10:27:24,35.7525,36.0518,12.1,2.1
27/05/2022 09:38:42,36.5535,37.4343,7.01,2.2
25/05/2022 07:23:51,39.076,38.3658,10.79,2.3
24/05/2022 11:09:11,38.5053,38.1236,7,2
